date,hour,temperature_c
2025-12-11,0,18.2
2025-12-11,1,17.666666666666668
2025-12-11,2,17.233333333333334
2025-12-11,3,16.7
2025-12-11,4,16.366666666666667
2025-12-11,5,16.066666666666666
2025-12-11,6,15.733333333333334
2025-12-11,7,16.333333333333332
2025-12-11,8,19.633333333333333
2025-12-11,9,23.96666666666667
2025-12-11,10,26.599999999999998
2025-12-11,11,28.433333333333337
2025-12-11,12,29.8
2025-12-11,13,30.633333333333336
2025-12-11,14,30.733333333333334
2025-12-11,15,30.53333333333333
2025-12-11,16,29.666666666666668
2025-12-11,17,27.133333333333336
2025-12-11,18,24.266666666666666
2025-12-11,19,21.933333333333334
2025-12-11,20,20.333333333333332
2025-12-11,21,19.233333333333334
2025-12-11,22,18.066666666666666
2025-12-11,23,17.033333333333335
