city,high_risk_pct,moderate_risk_pct,low_risk_pct
Bengaluru,100.0,0.0,0.0
Delhi,100.0,0.0,0.0
Hyderabad,100.0,0.0,0.0
Kolkata,100.0,0.0,0.0
Mumbai,100.0,0.0,0.0
